MHCLG code,Area code,Area name ,a1a,a1b,a2a,a2aa,a2ab,a2b,a2ba,a2bb,a2c,a2ca,a2cb,a2d,a2da,a2db,a2e,a2ea,a2eb,a2f,a2fa,a2fb,a2g,a2ga,a2gb,a2h,a2ha,a2hb,a2ia,a2iaa,a2iab,a2ib,a3a,a3aa,a4a,a4ba,a4bb,a4c,a4d,a5a,b1a,b2aa,b2ab,b2ac,b2aaa,b2aab,b2aac,b2aba,b2abb,b2abc,b2aca,b2acb,b2acc,b2ada,b2adb,b2adc,b2ba,b2bb,b2bc,b2ca,b2cb,b2cc,b2da,b2db,b2dc,b2ea,b2eb,b2fa,b2fb,b2fc,b2faa,b2fab,b2fac,b2faaa,b2faab,b2faac,b2faba,b2fabb,b2fabc,cc1a,cc1aa,cc1ab,cc1ac,cc1ad,cc1ae,cc2a,cc3a,cc3aa,cc3ab,cc4a,cc4aa,cc4ab,cc5a,cc5aa,cc5ab,cc5ac,cc5ad,cc5ae,cc6a,cc6aa,cc7a,cc8a,d4a,d4aa,d4ab,d4ac,d4ad,d8a,d8aa,d8ab,d8ac,d9a,d9aa,d9ab,d10a,d10aa,d10ab,d11a,d12a,e1a,e2aa,e2ab,e2ac,e2ba,e2bb,e2bc,e2ca,e2cb,e2cc,e2da,e2db,e2dc,f1a,f1b,f2aa,f2ab,f2aaa,f2aab,f2ba,f2bb,f2baa,f2bab,f2ca,f2cb,f2caa,f2cab,f2cba,f2cbb,f2cca,f2ccb,f2cda,f2cdb,f2da,f2db,f2daa,f2dab,f5a,f5aa,f5ab,f6a,f7a,f8a,f9a,f10a,f11a,f12aa,f12ab,f12ac,f12ba,f12bb,f12bc,f12ca,f13a,f13b,f13c,f13d,f13e,f13da,f13db,f13dc,f14a,f14b,f14c,f14e,f15a,f15b,f16a,f16b,f16c,f16aa,f16ab,f16ac,f16ba,f16bb,f16bc,f16ca,f16cb,f16cc,f16da,f16db,f16dc,f17a,f24a,f25aa,f25ab,f25ba,f25bb,f25ca,f25cb,f25da,f25db,f25ea,f25eb,f25fa,f25fb,g1a,g2a,g2aa,g2ab,g2ac,g2ad,g3a,h1a,h1b,h2a,h2b,h3a,h3b,h4aa,h4ab,h4ba,h4bb,h4ca,h4cb,h4da,h4db,h4ea,h4eb,h4fa,h4fb,h4ga,h4gb,h4ha,h4hb,h5a,h6a,h8a,h9a,h10a,h11a,h12a,h13a,h14a,i1a,i2a,i3aa,i3ab,i3ba,i3bb,i3ca,i3cb,i3da,i3db,i3ea,i3eb,i3fa,i3fb,i4aa,i4ab,i4ba,i4bb,i4ca,i4cb,i4da,i4db,i4ea,i4eb,i4fa,i4fb,i5aa,i5ab,i5ba,i5bb,i5ca,i5cb,i5da,i5db,i5ea,i5eb,i5fa,i5fb,i6a,i7a,i7b,i7c,i7d,i7e,i7f,i8a,i8b,i8c,i8d,i8e,i8f,i9a,i9b,i9c,i9d,i9e,i9f,i10a,i10b,i10c,i10d,i10e,i10f,i10g,i10h,i11a,i12a,i13a,i14a,i15a,i16a,i17aa,i17ab,i17ba,i17bb,i17ca,i17cb,i17da,i17db,i17e,i17dc,i17dd,i17de,j1aa,j1ab,j1ba,j1bb,j1ca,j1cb,j1da,j1db,j1ea,j1eb,j1fa,j1fb,j1ga,j1gb,j1ha,j1hb,j2aa,j2ab,j2ba,j2bb,j2ca,j2cb,j2da,j2db,j2ea,j2eb,j2fa,j2fb,j2ga,j2gb,j2ha,j2hb,j3aa,j3ab,j3ba,j3bb,j3ca,j3cb,j3da,j3db,j3ea,j3eb,j3fa,j3fb,j3ga,j3gb,j3ha,j3hb
,E10000007,Derbyshire,29038,81,288,288,0,7216,7207,9,10781,10680,101,10244,10231,13,519,519,0,3,3,0,1,0,1,0,0,0,29052,28928,124,29040,879.021,875.274,43,0,0,45,4,0,446,278,14657,13391,7,218,289,80,4180,3675,191,10259,9427,47,2177,1866,0,0,0,0,0,0,3,499,0,0,0,281,15156,13391,11,338,452,9,285,374,0,0,0,10508,6127,2791,1166,356,68,2,4,,4,6,0,16,4134,114,214,778,1210,91,305,3,8,7,734,25,0,111,75,1672,264,210,205,116,60,20,2520,2238,282,1259,0,626,51,171,222,55,84,139,75,145,220,181,400,581,,,953,483,87,204,1659,795,150,150,1317,1548,1298,214,0,0,44,1296,25,134,0,0,,,69,0,69,1480,169,1708,191,116,3,67,397,141,54,258,0,121,312,5567,1645,270,1818,297,0,126,1129,13222,6883,9359,206,273,1818,9359,13108.87769,69,0,0,1551,9006,13940.16073,159,490,9760,79,6,75.94936709,,42896,10282,39631,43,255,0,0,45,4168,4,304,8556,44358,38.4,91,79,3,5,4,0,,,82.96484168,101.9925806,77.20848914,94.75468983,62.06274306,0,71.88650062,83.43888889,77.5275103,94.84851485,80.72455967,107.6784615,86.31786127,0,93.71,0,0,124.82,77.32792692,94.71241935,2811782.63,2069368.16,1020009,101212782.2,474868.11,3167417,97570496,4.78,99.19856292,58,0,0,0,0,7,0,0,0,0,0,12,0,19,0,111,0,27,0,0,0,8,0,52,0,198,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,4,111,0,1,0,30,142,0,0,0,0,0,0,55,173,0,6,152,0,33,419,0,3907,1014,348,0,0,2,1,4,2,1,1,7,4,3,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,140,10,37,0,0,0,0,0,73,0,0,0,3,10,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M1005,E07000032,Amber Valley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1791,938,524,220,92,17,N,N,1,Y,Y,N,..,585,0,87,215,200,0,11,0,Y,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,35,70,50,8,0,8,160,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,33,0,0,63,0,471,364,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R1010,E07000033,Bolsover,5078,2,88,88,0,549,547,2,2641,2561,80,1770,1763,7,36,36,0,0,0,0,0,0,0,0,0,0,5084,4995,89,5084,167,164,0,0,0,26,0,0,66,47,2177,1866,0,0,0,13,565,423,34,1612,1443,47,2177,1866,0,0,0,0,0,0,0,0,0,0,0,47,2177,1866,2,53,78,0,0,0,0,0,0,1205,918,193,78,16,0,Y,N,..,Y,Y,Y,0,1205,2,0,0,54,0,0,0,Y,Y,76,8,0,36,0,318,35,1,0,2,0,2,394,221,173,41,0,227,7,41,48,30,35,65,51,53,104,88,129,217,D,D,25,134,25,134,404,50,0,0,25,134,25,134,0,0,25,134,25,134,0,0,0,0,0,0,0,28,25,1035,14,10,0,0,0,0,0,0,0,0,88,1432,379,0,364,106,0,0,145,4436,701,600,106,106,364,600,1648.351648,0,0,0,258,425,1647.286822,106,318,3000,0,0,0,7,13292,2057,13292,0,0,0,0,26,2490,0,0,1520,15782,32.7,16,15,0,1,0,0,48,48,85.8,103.82,79.2,95.83384615,70.43,0,72.25,78.78,78.16,95.59,83.1,106.68,89.01,0,0,0,0,0,79.2,95.83,590149,627485,182108,21115858,98227,1128231,19889400,5.7,99.1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,6,0,3,22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1015,E07000034,Chesterfield,9150,70,45,45,0,3190,3187,3,2856,2854,2,2805,2805,0,253,253,0,0,0,0,1,0,1,0,0,0,9150,9144,6,9150,289.205,288.967,43,0,0,0,3,0,163,105,5172,5221,5,144,190,29,1423,1458,71,3605,3573,0,0,0,0,0,0,0,0,0,3,499,0,0,0,108,5671,5221,6,166,236,6,166,236,0,0,0,1342,865,285,140,46,6,N,Y,1,N,N,..,..,277,9,7,73,208,9,36,2,Y,Y,364,4,0,0,0,606,36,0,0,36,-,-,1006,981,25,53,0,157,35,51,86,19,16,35,22,14,36,76,81,157,C,C,565,96,0,0,216,228,0,0,1273,80,1273,80,0,0,0,0,0,0,0,0,0,0,0,0,0,65,35,200,30,15,0,21,0,96,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14110,2971,13514,43,255,0,0,0,116,3,225,1996,14110,70.6,41,35,2,4,0,0,48,48,83.66,103.75,77.22461538,95.76923077,61.52,0,71.85,87.15,77.96,94.15,81.68,0,89.65,0,0,0,0,124.82,77.22,95.76,1103891.34,880268.57,500794,20255406.54,229349.57,847042.61,19179014,9.8,98.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,7,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8,12,0,0,0,0,0,0,0,0,0,2,0,1,0,3,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,15,0,0,0,0,0,12,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1045,E07000035,Derbyshire Dales,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,711,479,144,74,14,0,N,Y,1,N,Y,Y,3,397,36,10,224,124,34,30,0,Y,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,25,2,2,0,34,237,0,54,258,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,1,35,0,0,104,0,1557,648,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N1025,E07000036,Erewash,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1687,788,505,265,116,13,N,Y,1,N,Y,N,..,486,9,4,152,321,0,0,0,Y,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1260,6,82,15,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,7,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T1030,E07000037,High Peak,3966,4,133,133,0,1294,1294,0,1243,1243,0,1217,1217,0,77,77,0,0,0,0,0,0,0,0,0,0,3964,3964,0,3964,78.845,78.845,0,0,0,0,0,0,47,25,1654,1356,0,0,0,10,585,452,15,1069,904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1654,1356,1,40,39,1,40,39,0,0,0,973,576,250,98,17,32,N,Y,1,N,N,Y,,708,14,86,109,162,8,0,0,Y,Y,75,6,0,75,75,205,7,205,205,30,26,4,310,310,0,48,0,70,4,10,14,3,1,4,2,15,17,9,26,35,D,D,0,0,0,0,604,132,0,0,19,1162,0,0,0,0,19,1162,0,0,0,0,0,0,69,-,69,49,41,281,80,71,2,0,0,0,0,0,0,0,149,939,807,11,647,11,0,25,354,2771,2326,1980,100,167,647,1980,3060.278207,69,0,0,511,1946,3808.219178,28,28,1000,79,6,75.94936709,16,3125,1088,3125,0,0,0,0,0,0,0,0,854,3125,28,9,9,0,0,0,0,48,0,76.59,0,70.69846154,0,56.09,0,64.29,0,70.69,0,78.27,0,83.95,0,0,0,0,0,70.66,0,272988.06,94675.82,29883,14632688.96,50973.07,158403.06,14423313,2.5,99.79281459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,8,0,8,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,6,0,0,0,0,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B1035,E07000038,North East Derbyshire,7849,1,14,14,0,1486,1484,2,2825,2812,13,3422,3418,4,114,114,0,1,1,0,0,0,0,0,0,0,7862,7843,19,7850,251,251,0,0,0,19,1,0,126,79,4199,3804,2,74,99,23,1309,1086,54,2816,2619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,4199,3804,2,79,99,2,79,99,0,0,0,2155,1272,638,217,28,0,Y,N,..,Y,Y,Y,13,304,2,20,5,51,0,226,1,Y,Y,139,-,0,0,0,411,158,4,0,27,18,9,577,577,0,61,0,153,3,56,59,3,28,31,0,63,63,6,147,153,D,D,301,183,0,0,285,235,0,0,0,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,13,0,0,0,0,0,0,0,0,0,0,0,75,2828,459,259,807,180,0,79,630,5272,3856,6779,-,-,807,6779,8400.247831,0,0,0,782,6635,8484.654731,25,144,5760,0,0,0,10,10247,3610,8606,0,0,0,0,19,1562,1,79,3630,10247,40.1,20,15,1,0,4,0,48,48,85.12,95,78.57230769,87.69230769,69.95,0,78.5,86.46,78.57,88.62,78.58,106.15,78.45,0,87.91,0,0,0,78.57,87.69,589330.1,337549.63,295983,32832986.32,39763.42,957239.51,31835983,2.8,99.1,13,0,0,0,0,7,0,0,0,0,0,12,0,19,0,0,0,3,0,0,0,0,0,6,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,21,9,0,0,44,0,22,96,0,640,2,0,0,0,2,1,4,0,1,0,7,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F1040,E07000039,South Derbyshire,2992,0,8,8,0,697,695,2,1216,1210,6,1030,1028,2,39,39,0,2,2,0,0,0,0,0,0,0,2992,2982,10,2992,92.971,92.462,0,0,0,0,0,0,44,22,1455,1144,0,0,0,5,298,256,17,1157,888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1455,1144,0,0,0,0,0,0,0,0,0,644,291,252,74,27,0,N,N,..,Y,Y,N,..,172,42,0,0,90,40,2,0,Y,Y,80,7,0,0,0,132,28,0,0,21,16,5,233,149,84,0,0,19,2,13,15,0,4,4,0,0,0,2,17,19,D,D,62,70,62,70,150,150,150,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,14,15,0,0,0,4,0,45,0,0,0,4,0,368,0,0,0,0,0,22,0,743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2122,556,1094,0,0,0,0,0,0,0,0,556,1094,20.6,5,5,0,0,0,0,52,52,78.89,97.96,78.89,97.96,58.57,0,71.79,79.51,79.77,98.69,84.08,114.23,89.89,0,96.61,0,0,0,80.12,97.48,255424.13,129389.14,11241,12375842.35,56555.05,76500.82,12242786,3.1,99.9,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,111,0,0,0,0,0,0,0,30,0,141,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,111,0,0,0,30,141,0,0,0,0,0,0,0,83,0,5,34,0,0,122,0,988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,0,19,0,0,0,0,0,39,0,0,0,0,0,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,E10000008,Devon,12118,531,191,191,0,3372,3363,9,4366,4324,42,3956,3920,36,189,188,1,16,16,0,2,2,0,1,1,0,12093,12005,88,12074,531.042,527.807,0,4,0,0,31,0,148,98,8812,6823,9,492,570,31,2299,2067,58,6021,4186,40,3567,2844,0,0,0,0,0,0,0,0,0,0,0,98,8812,6823,19,2923,2024,16,823,974,0,0,0,14909,8044,4242,1918,705,0,0,0,,7,8,5,2,5999,894,641.3286894,2113,2482,125.6435356,3566,498,8,8,205,50,79,27,0,426,107,17,0,142,57,38,773,398,87,1856,66,83,33,13,46,10,9,19,0,11,11,43,33,76,,,162,261,0,0,588,618,250,250,90,90,0,0,0,10,90,80,0,0,0,20,,,44,18,44,232,203,6103,1528,1031,18,347,745,502,55,142,0,402,47,390,0,0,78,121,0,0,101,424,210,73,121,7,78,73,935.8974359,44,18,409.0909091,21,56,2666.666667,6,14,2333.333333,7,13,1857.142857,,15799,3526,9580,0,0,4,5696,0,0,31,523,1365,15799,27.76666667,34,20,12,0,2,0,,,82.24348105,129.3169318,78.07932675,122.1500699,63.82141361,0,70.68286054,82.77555556,77.76359852,115.1528571,84.80053571,139.7758333,90.70702128,135.71,95.825625,0,121.595,0,78.07941603,122.14875,635313.96,282940.91,93408,51729910.3,211860.85,660958.71,50857090,1.626597372,99.19419405,206,18,0,1,0,19,0,0,0,5,0,0,0,25,0,162,0,52,0,6,0,13,0,158,0,391,0,0,0,0,0,0,0,21,0,0,0,21,0,0,0,28,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,237,739,0,34,461,21,0,1492,0,9577,2166,866,0,0,0,3,0,18,0,10,0,31,0,7,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218,0,0,0,0,0,0,0,81,0,0,0,0,0,299,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,10
U1105,E07000040,East Devon,4204,0,40,40,0,1150,1149,1,1416,1398,18,1528,1522,6,63,63,0,5,5,0,1,1,0,1,1,0,4204,4179,25,4204,205,204,0,3,0,0,28,0,40,32,3161,2304,0,0,0,8,580,507,24,2581,1797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,3161,2304,3,2100,1050,0,0,0,0,0,0,3914,2103,1168,494,149,0,N,N,..,Y,Y,N,..,1152,19,148,525,460,0,813,142,Y,Y,64,14,50,27,0,148,37,17,0,48,22,26,260,173,87,172,2,18,4,3,7,2,3,5,0,0,0,6,6,12,C,C,0,0,0,0,250,250,250,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,34,28,280,90,30,10,5,0,375,0,0,0,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10158,356,3939,0,0,3,5696,0,0,28,523,210,10158,41.7,6,6,0,0,0,0,52,52,80.75,127.24,80.75,127.24,75.08,0,72.54,103.38,79.98,125.69,87.32,135.85,92.62,0,96.54,0,152.54,0,80.75,127.24,212753.13,62101.45,39225,18573864.34,142933.39,389632.66,18041298,1.479792115,99.78258216,60,12,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,52,0,0,0,7,0,87,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,16,222,0,0,104,0,0,342,0,0,91,0,0,0,0,2,0,18,0,8,0,28,0,6,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y1110,E07000041,Exeter,4884,122,145,145,0,1432,1432,0,1702,1702,0,1510,1491,19,86,86,0,9,9,0,0,0,0,0,0,0,4884,4865,19,4865,193.042,191.807,0,0,0,0,3,0,71,40,3567,2844,8,418,524,13,1091,956,19,2058,1364,40,3567,2844,0,0,0,0,0,0,0,0,0,0,0,40,3567,2844,13,694,817,13,694,817,..,..,..,1772,1025,410,234,103,0,N,N,..,Y,Y,Y,,1249,277,151.3286894,500,472,56.52663835,906,53,Y,Y,58,12,-,-,-,183,44,0,0,47,-,-,288,0,0,307,5,44,23,0,23,8,4,12,0,9,9,31,13,44,C,C,10,75,0,0,157,175,0,0,0,20,0,0,0,10,0,10,0,0,0,0,0,0,44,18,44,41,24,4412,1226,903,3,199,348,26,0,0,0,199,46,-,0,0,78,26,0,0,44,-,0,73,26,0,78,73,935.8974359,44,18,409.0909091,21,56,2666.666667,6,14,2333.333333,7,13,1857.142857,2,3264,1622,3264,0,0,0,0,0,0,3,0,-,3264,29.31,17,7,10,-,-,0,48,48,81.52,151.31,75.24923077,139.6707692,60.39,0,67.84,0,75.32,0,82.74,139.67,89.98,0,95.59,0,0,0,75.25,139.67,305113,160257,33065,20678940,63287,212182,20403471,2,98,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,77,0,0,0,0,0,0,0,43,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,16,18,0,0,104,-,7439,550,222,0,-,0,1,0,0,0,2,0,3,0,1,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,17,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H1135,E07000042,Mid Devon,3005,0,6,6,0,790,782,8,1248,1224,24,918,907,11,40,39,1,2,2,0,1,1,0,0,0,0,3005,2961,44,3005,133,132,0,1,0,0,0,0,37,26,2084,1675,1,74,46,10,628,604,15,1382,1025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,2084,1675,3,129,157,3,129,157,0,0,0,1922,959,601,266,96,0,N,N,..,Y,Y,Y,,716,176,218,46,218,32.40438195,374,58,Y,Y,83,24,29,0,0,95,26,0,0,47,35,12,225,225,0,143,1,20,6,10,16,0,2,2,0,2,2,6,14,20,C,C,152,186,0,0,181,193,0,0,90,70,0,0,0,0,90,70,0,0,0,20,0,2,0,0,0,24,18,170,30,8,0,5,0,63,0,0,0,5,1,390,0,0,0,95,0,0,57,424,210,0,95,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2377,1548,2377,0,0,1,-,0,0,0,0,1155,2377,12.29,11,7,2,0,2,0,48,48,85.54,121,78.96,111.6923077,71.69,0,73.16,80.2,78.63,107.25,83.96,142.1,89.22,135.71,95.1,0,90.65,0,78.96,111.69,117447.83,60582.46,21118,12477105.96,5640.46,59144.05,12412321,1.4,99.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,861,729,516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G1115,E07000043,North Devon,2,311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2634,1493,723,309,109,0,N,N,..,Y,Y,N,..,611,83,17,228,283,0,488,74,Y,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,343,15,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,44,628,57,35,4,3,0,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,5,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,6,0,0,0,25,0,104,0,0,0,0,0,0,0,15,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,4,0,5,52,0,0,196,0,507,275,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,0,0,0,0,0,0,0,59,0,0,0,0,0,211,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,10
